Materials,B [GPa],E [GPa],G [GPa],Poisson,B/G,Volume [Å^3],MeanAtomicVolume [cm^3/mol]
Li6PS5Cl,34.733,27.436,10.025,0.3684,3.4646,1013.3955,11.7362
Li6PS5Br,35.19,30.114,11.093,0.3574,3.1723,1014.3155,11.7468
Li6PS5I,35.141,35.1,13.161,0.3335,2.6701,1025.9877,11.882
Li6SbS5I,32.883,38.268,14.578,0.3069,2.2557,1111.1927,12.8688
Li10GeP2S12,32.247,29.024,10.75,0.35,2.9997,904.4401,10.8933
Li10SnP2S12,31.275,28.124,10.415,0.3501,3.0029,925.2068,11.1435
Li10SiP2S12,33.06,28.132,10.356,0.3582,3.1924,894.2238,10.7703
b-Li3PS4,29.279,33.492,12.79,0.3093,2.2892,602.4948,11.3385
c-Li3PS4,39.338,36.82,13.698,0.344,2.8718,298.3323,11.2287
Li4SnS4,37.122,41.049,15.6,0.3157,2.3796,678.0052,11.3418
Li4GeS4,39.296,44.825,17.11,0.3099,2.2967,638.3427,10.6783
Li5AlS4,43.546,61.46,24.297,0.2648,1.7922,1243.7189,9.3623
Li3BS3,30.156,35.962,13.818,0.3012,2.1824,472.0876,10.1535
Li5GaS4,43.168,59.646,23.488,0.2697,1.8379,313.9163,9.4522
Li3SbS4,35.478,33.858,12.624,0.341,2.8104,333.959,12.5697
Li7P3S11,29.521,28.367,10.586,0.3398,2.7887,794.2838,11.3888
Li7PS6,41.152,51.88,20.11,0.2899,2.0463,925.4132,9.9517
Li2PS3,46.141,81.498,33.799,0.2056,1.3652,597.2332,9.9906
Li2SiS3,44.53,47.911,18.139,0.3207,2.4549,449.3635,11.2755
Li2SnS3,51.411,92.228,38.396,0.201,1.339,834.4501,10.4691
b-Li3PO4,83.396,118.558,46.933,0.2631,1.7769,1214.6552,5.7147
c-Li3PO4,82.323,114.232,45.018,0.2687,1.8287,1236.7996,5.8189
a-Li2SO4,41.188,26.766,9.616,0.3917,4.2833,446.8255,9.6102
b-Li2SO4,40.924,50.356,19.444,0.2949,2.1047,321.5792,6.9164
Li3BO3,87.306,120.49,47.438,0.27,1.8404,237.3424,5.1047
Li3VO4,72.928,93.642,36.408,0.286,2.0031,165.9458,6.2459
Li4GeO4,94.909,137.49,54.62,0.2586,1.7376,340.2103,5.6911
Li4SiO4,91.084,146.8,59.61,0.2314,1.528,161.5049,5.4034
Li4SiO4_2,88.385,127.91,50.807,0.2588,1.7396,1128.2052,5.3922
Li5AlO4,93.975,143.72,57.714,0.2451,1.6283,181.1222,5.4537
Li2ZnGeO4,91.819,115.16,44.601,0.291,2.0587,174.0347,6.5504
Li2PNO2,100.65,160.02,64.784,0.235,1.5536,902.092,5.6589
Li7La3Zr2O12,120.54,165.37,65.039,0.2713,1.8533,2184.7653,6.8526
Li5La3Nb2O12,106.518,133.673,51.778,0.2908,2.0572,2238.0857,7.658
Li5La3Ta2O12,112.4,141.93,55.031,0.2895,2.0425,2204.3862,7.5427
LiTi2(PO4)3,100.62,146.16,58.095,0.2579,1.732,1335.9171,7.4491
LiGe2(PO4)3,121.42,183.79,73.651,0.2477,1.6486,1237.1731,6.8985
LiZr2(PO4)3,78.257,105.326,41.282,0.2757,1.8957,1509.09,8.4148
LiHf2(PO4)3,85.83,122.81,48.675,0.2615,1.7633,1460.1297,8.1418
Li1/8La5/8TiO3,165.598,220.637,86.325,0.2779,1.9183,477.9441,7.5743
Li1/2La1/2TiO3,170.747,270.356,109.358,0.2361,1.5614,238.4484,7.1798
Li3OCl,62.223,113.89,47.653,0.195,1.3058,440.4403,6.631
Li3OBr,59.621,108.8,45.491,0.1959,1.3106,474.4567,7.1431
Li3OCl0.5Br0.5,60.777,110.85,46.339,0.196,1.3116,458.2786,6.8995
Li3YCl6,28.408,41.047,16.299,0.2592,1.7429,624.5788,12.5377
Li3InCl6,29.802,43.129,17.131,0.2588,1.7397,599.7239,12.0387
LiAlCl4,13.449,20.367,8.163,0.2476,1.6476,560.0292,14.0524
Li2CdCl4,33.191,33.002,12.367,0.3343,2.6838,586.0973,12.6056
Li2MgCl4,34.572,37.532,14.227,0.3191,2.43,545.6002,11.7346
Li2ZnI4,16.423,26.462,10.744,0.2315,1.5286,836.5876,17.993
a-Li3N,65.83,105.79,42.93,0.2322,1.5334,331.3204,6.2352
b-Li3N,70.176,120.43,49.599,0.214,1.4149,550.0272,5.1755
Li3BN2,83.643,140.51,57.587,0.22,1.4525,855.1974,5.3647
Li7PN4,105.517,221.44,96.259,0.1502,1.0962,769.7758,4.8289
LiSi2N3,167.44,300.8,125.27,0.2006,1.3366,922.6297,5.7877
LiPN2,149.84,254.93,104.78,0.2165,1.43,585.6407,5.5106
